Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Sat Dec 2 2017,2:00 PM,Los Angeles Clippers,,Dallas Mavericks,
Sat Dec 2 2017,9:00 PM,Los Angeles Lakers,,Denver Nuggets,
Sat Dec 2 2017,8:30 PM,Sacramento Kings,,Milwaukee Bucks,
Sat Dec 2 2017,7:30 PM,Detroit Pistons,,Philadelphia 76ers,
Sat Dec 2 2017,10:00 PM,New Orleans Pelicans,,Portland Trail Blazers,
Sun Dec 3 2017,9:30 PM,Houston Rockets,,Los Angeles Lakers,
Sun Dec 3 2017,7:00 PM,Golden State Warriors,,Miami Heat,
Sun Dec 3 2017,7:00 PM,Los Angeles Clippers,,Minnesota Timberwolves,
Sun Dec 3 2017,3:30 PM,Orlando Magic,,New York Knicks,
Sun Dec 3 2017,7:00 PM,San Antonio Spurs,,Oklahoma City Thunder,
Mon Dec 4 2017,7:30 PM,Brooklyn Nets,,Atlanta Hawks,
Mon Dec 4 2017,7:30 PM,Milwaukee Bucks,,Boston Celtics,
Mon Dec 4 2017,8:00 PM,Cleveland Cavaliers,,Chicago Bulls,
